"planet_id","planet_name","planet_status","planet_size_earths","planet_temperature_k_elvin","orbital_period_days","orbital_period_upper_err1","orbital_period_lower_err2"
"87","Kepler-235 e","CONFIRMED",1.83,273,"koi_period","2.65E-04","-2.65E-04"
"170","Kepler-705 b","CONFIRMED",1.94,233,"koi_period","2.75E-04","-2.75E-04"
"532","Kepler-267 d","CONFIRMED",1.87,301,"koi_period","8.81E-05","-8.81E-05"
"560","Kepler-737 b","CONFIRMED",1.83,298,"koi_period","5.49E-05","-5.49E-05"
"973","Kepler-296 d","CONFIRMED",1.52,297,"koi_period","5.53E-05","-5.53E-05"
"1276","Kepler-69 c","CONFIRMED",1.73,286,"koi_period","2.60E-03","-2.60E-03"
"1550","Kepler-309 c","CONFIRMED",1.87,204,"koi_period","5.25E-04","-5.25E-04"
"2038","Kepler-395 c","CONFIRMED",1.14,292,"koi_period","3.80E-04","-3.80E-04"
"2617","Kepler-1410 b","CONFIRMED",1.39,244,"koi_period","6.50E-04","-6.50E-04"
"3057","Kepler-577 b","CONFIRMED",1.7,314,"koi_period","5.82E-05","-5.82E-05"
"3070","Kepler-155 c","CONFIRMED",1.87,271,"koi_period","1.36E-04","-1.36E-04"
"3217","Kepler-560 b","CONFIRMED",1.55,267,"koi_period","1.56E-05","-1.56E-05"
"3413","Kepler-62 e","CONFIRMED",1.72,269,"koi_period","5.02E-04","-5.02E-04"
"3626","Kepler-440 b","CONFIRMED",1.61,229,"koi_period","9.53E-04","-9.53E-04"
"3694","Kepler-1544 b","CONFIRMED",1.69,241,"koi_period","2.10E-03","-2.10E-03"
"4522","Kepler-296 f","CONFIRMED",1.18,202,"koi_period","9.27E-04","-9.27E-04"
"4559","Kepler-437 b","CONFIRMED",1.56,308,"koi_period","3.95E-04","-3.95E-04"
"4619","Kepler-1450 b","CONFIRMED",1.94,308,"koi_period","5.67E-04","-5.67E-04"
"4649","Kepler-442 b","CONFIRMED",1.3,241,"koi_period","1.72E-03","-1.72E-03"
"4687","Kepler-1455 b","CONFIRMED",1.75,271,"koi_period","3.36E-04","-3.36E-04"
"4688","Kepler-438 b","CONFIRMED",0.97,288,"koi_period","2.71E-04","-2.71E-04"
"5063","Kepler-1512 b","CONFIRMED",0.8,276,"koi_period","5.48E-05","-5.48E-05"
"5831","Kepler-296 e","CONFIRMED",1.06,248,"koi_period","2.29E-04","-2.29E-04"
"6241","Kepler-62 f","CONFIRMED",1.43,207,"koi_period","4.81E-03","-4.81E-03"
"9098","Kepler-186 e","CONFIRMED",1.15,319,"koi_period","7.39E-05","-7.39E-05"
"9160","Kepler-452 b","CONFIRMED",1.09,220,"koi_period","7.11E-03","-7.11E-03"
"9222","Kepler-283 c","CONFIRMED",1.87,240,"koi_period","6.94E-04","-6.94E-04"
